id	internal_title	primary_axis	secondary_axis	interaction_model	concept	differentiator	anticipated_ai_failure	lineage
a185	Missing Packet	protocol-recovery-and-error-correction	erasure-recovery	reconstruct-signal	A repeating spatial message loses one visibly blank packet per cycle. From cross-cycle redundancy, the player reconstructs each missing packet and triggers a receiver.	Missing positions are known, so the challenge is erasure recovery rather than hidden-state search.	guesses-erasure-from-local-neighbors-only	gpt-seeded-anthropic-build
a186	Redundant Relay	protocol-recovery-and-error-correction	multiple-paths	route-copies	Three relays carry transformed copies of the same geometric command, but one relay fails each level. The player combines any two consistent copies to recover the command.	Redundancy spans independently transformed paths and must tolerate an absent channel.	depends-on-fixed-primary-relay	gpt-seeded-anthropic-build
a187	Burst Error	protocol-recovery-and-error-correction	interleaving	arrange-message	A channel corrupts one contiguous run of positions. The player interleaves neighboring parts of a picture before sending so the burst becomes isolated correctable holes after deinterleaving.	Spatial reordering converts correlated damage into distributed sparse damage.	repeats-data-without-addressing-burst-structure	gpt-seeded-anthropic-build
a188	Synchronization Word	protocol-recovery-and-error-correction	frame-alignment	insert-delimiter	A continuous cyclic signal has no marked beginning and receivers may start midstream. The player inserts a short self-unique geometric delimiter that permits reliable frame alignment.	The problem is recovering boundaries in a valid stream, not decoding symbol meanings.	decodes-content-at-wrong-phase	gpt-seeded-anthropic-build
a189	Noisy Handshake	protocol-recovery-and-error-correction	acknowledgement	send-and-confirm	A receiver occasionally misses one visible pulse according to a deterministic obstruction cycle. The player designs a request-acknowledge-retry handshake that completes exactly once without duplicate activation.	Reliability requires feedback and duplicate suppression rather than raw redundancy.	retries-without-tracking-completion	gpt-seeded-anthropic-build
a190	Majority Decode	protocol-recovery-and-error-correction	fault-tolerance	place-voters	Five sensors vote on a gate, but up to two are stuck in visibly inferable patterns. The player wires a majority network whose output remains correct under every allowed fault placement.	The construction must satisfy a fault model across cases, not the current sample only.	overfits-wiring-to-observed-fault-instance	gpt-seeded-anthropic-build
a191	Interleaved Message	protocol-recovery-and-error-correction	channel-demultiplexing	separate-streams	Two senders alternate pulses on one lane with an unknown starting sender but stable alternation. Distinct pilot shapes reveal phase, allowing the player to separate and execute both commands.	The ambiguity is multiplexed stream ownership, not compositional signal semantics.	merges-two-valid-streams-into-one-command	gpt-seeded-anthropic-build
a192	Self-Clocking Path	protocol-recovery-and-error-correction	clock-recovery	encode-transitions	A receiver has no shared clock and advances only when signal color changes. The player re-encodes a spatial route so long repeated runs still produce enough transitions for exact recovery.	Timing is recovered from data transitions; unchanged symbols can vanish entirely.	encodes-content-without-clock-information	gpt-seeded-anthropic-build
a193	Hot Swap	modular-machines-and-reconfiguration	live-reconfiguration	replace-modules	A production line must keep moving while one module is replaced. The player routes output through a temporary bypass, synchronizes module state, then switches back without duplicating or losing items.	Module replacement occurs during live operation and requires state handoff.	stops-system-or-swaps-with-unsynchronized-state	gpt-seeded-anthropic-build
a194	Bus Backplane	modular-machines-and-reconfiguration	shared-bus	schedule-modules	Several plug-in modules share one communication stripe and collide if active together. The player assigns spatial time slots so required module pairs exchange data without bus contention.	Connectivity is fixed and abundant; arbitration of a shared interface is the constraint.	activates-compatible-modules-simultaneously	gpt-seeded-anthropic-build
a195	Interface Adapter	modular-machines-and-reconfiguration	type-conversion	insert-adapters	Modules expose geometric ports with direction, shape, and pulse conventions. The player chains minimal adapters so an unfamiliar sensor can drive an unfamiliar actuator.	Compatibility spans several interface dimensions, not merely matching colors.	matches-port-shape-but-not-signal-convention	gpt-seeded-anthropic-build
a196	Module Polarity	modular-machines-and-reconfiguration	orientation-constraints	assemble-network	Reversible modules function differently when flipped, and neighboring ports must alternate polarity. The player arranges a loop that performs a target transformation while every interface remains valid.	Orientation changes both connectivity compatibility and module function.	chooses-functionally-correct-but-interface-invalid-orientation	gpt-seeded-anthropic-build
a197	Reconfigurable Cell	modular-machines-and-reconfiguration	local-reprogramming	set-cell-modes	Identical grid cells can be set to route, store, transform, or block. The player configures one field to process several input patterns presented sequentially without edits.	A homogeneous substrate must implement a reusable machine, not one fixed route.	overfits-cell-modes-to-first-input	gpt-seeded-anthropic-build
a198	Shared Resource	modular-machines-and-reconfiguration	capability-contention	attach-toolhead	Several modules need the same unique toolhead at different phases. Moving it changes adjacency and takes turns, so the player designs a module layout and schedule around one mobile capability.	Physical architecture and resource scheduling must be co-designed.	optimizes-layout-and-schedule-separately	gpt-seeded-anthropic-build
a199	Capability Graph	modular-machines-and-reconfiguration	functional-dependencies	compose-modules	Modules advertise effects only through demonstrations. The player discovers which outputs enable which inputs and assembles the smallest connected capability graph that realizes a requested behavior.	The objective is minimal functional composition across opaque interfaces.	adds-redundant-modules-without-dependency-model	gpt-seeded-anthropic-build
a200	Fault-Tolerant Assembly	modular-machines-and-reconfiguration	redundant-design	build-and-test	The player assembles a machine from duplicated modules, then the environment disables any one module chosen after construction. The machine must still complete its task under every single failure.	Robustness is universally tested after assembly, preventing decorative redundancy.	duplicates-components-with-common-single-point-of-failure	gpt-seeded-anthropic-build
